"file","codec","pix_fmt","width","height","fps","duration_s","stream_bitrate_kbps","format_bitrate_kbps","size_mb"
"eikko-serious-sam.mp4","h264","yuv420p","1920","1440","24","27,093","12754","12923,5","41,74"
"kayyo-emi4ka-overhype-sample-kit.mp4","h264","yuv420p","1080","1080","30","30,058","5648,4","5832","20,9"
"kayyo-ilm.mp4","h264","yuv420p","1350","1080","24","40,64","4266,8","4460,2","21,61"
"modeus-i-want-more.mp4","h264","yuv420p","2700","2160","23,976","20,565","24018,6","24066","59"
"sqwore-beach-episode.mp4","h264","yuv420p","1920","1080","24","30,1","5675,3","5857,8","21,02"
"sqwore-drunk.mp4","h264","yuv420p","1280","720","24","25,6","2511,1","2699,2","8,24"
"sqwore-ohwow.mp4","h264","yuv420p","1920","1080","24","23,38","4543,5","4728,5","13,18"
"sqwore-protagonist.mp4","h264","yuv420p","1618","1080","23,976","125,589","5518,6","5708,7","85,47"
"sqwore-tour-screens.mp4","h264","yuv420p","1280","720","30","34,175","2607","2798,3","11,4"
"tears-oyo-drowsyy-aktrisa.mp4","h264","yuv420p","1920","816","23,976","32,533","5540,2","5714,9","22,16"
"thes1cko-molniya-mcqueen.mp4","h264","yuv420p","1920","788","23,976","109,867","5428","5617,2","73,57"
