"slug","source","clip_start_s","clip_duration_s","desktop_width","desktop_height","desktop_webm_kb","mobile_width","mobile_height","mobile_webm_kb"
"eikko-serious-sam","assets/previews/mp4/eikko-serious-sam.mp4","0,35","3,4","900","676","526","360","270","120,8"
"kayyo-emi4ka-overhype-sample-kit","assets/previews/mp4/kayyo-emi4ka-overhype-sample-kit.mp4","0,35","2,6","860","860","2302,7","320","320","349,3"
"kayyo-ilm","assets/previews/mp4/kayyo-ilm.mp4","2,35","3,4","900","720","967,8","360","288","321,8"
"modeus-i-want-more","assets/previews/mp4/modeus-i-want-more.mp4","2,35","2,6","900","720","482,2","360","288","87,8"
"sqwore-beach-episode","assets/previews/mp4/sqwore-beach-episode.mp4","0,35","2,8","960","540","914,8","380","212","236,8"
"sqwore-drunk","assets/previews/mp4/sqwore-drunk.mp4","2,35","3,4","960","540","1046,9","380","212","355,3"
"sqwore-ohwow","assets/previews/mp4/sqwore-ohwow.mp4","0,35","3,36","960","540","314,8","380","212","94,5"
"sqwore-protagonist","assets/previews/mp4/sqwore-protagonist.mp4","0,35","3,4","900","600","547,1","360","240","164"
"sqwore-tour-screens","assets/previews/mp4/sqwore-tour-screens.mp4","0,35","3,36","960","540","420,7","380","212","129,9"
"tears-oyo-drowsyy-aktrisa","assets/previews/mp4/tears-oyo-drowsyy-aktrisa.mp4","0,35","3,4","960","408","295","380","160","89,1"
"thes1cko-molniya-mcqueen","assets/previews/mp4/thes1cko-molniya-mcqueen.mp4","0,35","3,4","960","392","409,7","380","154","122,4"
